NC_000913.3	257905	258680	1	1	0	8	0	36
NC_000913.3	1107273	1125670	1	1	0	1	0	13
NC_000913.3	1253642	1255816	1	1	0	0	1	12
NC_000913.3	1829180	1829620	2	2	0	0	1	15
NC_000913.3	1909272	1909314	2	2	0	1	0	14
NC_000913.3	1943891	2339784	1	1	0	3	1	17
NC_000913.3	2311892	2322267	1	1	0	0	1	12
NC_000913.3	2710104	2716011	2	2	0	1	0	12
NC_000913.3	2723868	2755742	1	1	0	0	1	17
NC_000913.3	2747811	2755742	1	1	0	0	1	12
NC_000913.3	2755696	2755718	2	2	0	1	0	13
NC_000913.3	3015027	4171549	2	2	0	0	5	15
NC_000913.3	3050326	3056066	1	1	0	0	1	13
NC_000913.3	3760484	4171549	2	2	0	0	5	13
